358,2210,1
397,1877,2
436,1885,3
485,1545,4
603,996,5
509,837,6
407,653,7
415,1006,8
380,989,9
539,1189,10
449,1213,11
306,2113,1
411,1866,2
418,1878,3
404,1709,4
595,975,5
500,839,6
394,642,7
388,1024,8
402,1090,9
560,1190,10
525,1154,11
308,2169,1
379,1907,2
423,1870,3
456,1776,4
535,994,5
492,855,6
418,654,7
329,1023,8
371,1092,9
499,1233,10
477,1336,11
319,2168,1
398,1925,2
453,1856,3
491,1652,4
454,908,5
506,839,6
376,582,7
363,1006,8
424,1157,9
527,1189,10
467,1280,11
277,2456,1
352,1929,2
421,2231,3
847,1702,4
939,1291,5
468,842,6
386,637,7
346,858,8
304,1077,9
610,1209,10
439,1385,11
265,2471,1
362,2308,2
470,2214,3
788,1811,4
922,1157,5
535,884,6
290,526,7
369,973,8
302,1107,9
670,1193,10
420,1357,11
264,2462,1
369,2231,2
386,2147,3
621,1668,4
889,1258,5
458,841,6
348,527,7
369,872,8
247,744,9
771,1224,10
367,1315,11
254,2443,1
369,2247,2
354,2217,3
781,1727,4
872,1157,5
449,841,6
343,550,7
300,834,8
235,973,9
721,1124,10
401,1319,11
313,2121,1
401,1988,2
450,1835,3
591,1691,4
522,1070,5
542,1071,6
407,647,7
486,989,8
330,1046,9
615,1227,10
553,1224,11
285,2257,1
393,1955,2
470,1862,3
620,1593,4
538,1103,5
514,961,6
433,679,7
386,956,8
344,1071,9
651,1264,10
548,1352,11
301,2162,1
403,1961,2
486,1845,3
697,1620,4
561,1097,5
525,1009,6
375,587,7
386,956,8
369,989,9
651,1255,10
537,1207,11
309,2134,1
405,1968,2
514,1928,3
726,1618,4
546,1076,5
493,948,6
391,530,7
470,1057,8
235,837,9
602,1261,10
553,1258,11
261,2322,1
366,2026,2
453,1929,3
660,1771,4
637,1057,5
620,889,6
436,654,7
362,1113,8
235,1057,9
637,1308,10
387,1478,11
258,2252,1
378,2037,2
439,1919,3
643,1789,4
688,1107,5
620,855,6
402,688,7
369,1090,8
235,1124,9
620,1174,10
406,1447,11
257,2345,1
381,2066,2
500,1912,3
691,1770,4
671,1140,5
553,872,6
419,654,7
369,1090,8
235,1040,9
620,1124,10
428,1491,11
271,2328,1
380,2037,2
493,1921,3
644,1818,4
704,1124,5
604,906,6
402,637,7
362,1090,8
235,922,9
637,1140,10
369,1342,11
271,2221,1
357,2058,2
466,1965,3
680,1558,4
647,1077,5
482,790,6
386,674,7
362,960,8
258,880,9
644,1229,10
508,1356,11
288,2289,1
377,2030,2
470,1911,3
668,1587,4
655,1071,5
486,822,6
387,611,7
387,965,8
307,1069,9
661,1226,10
562,1360,11
273,2366,1
387,2050,2
477,1910,3
712,1614,4
670,1062,5
500,835,6
412,659,7
361,913,8
285,910,9
688,1285,10
593,1293,11
264,2380,1
378,2018,2
498,2002,3
677,1553,4
648,974,5
511,771,6
413,580,7
333,1022,8
292,844,9
686,1223,10
522,1363,11
